PAGE #,Item #,Description ,List Price ,Comments 
52,B429728,"HANGER,LIGHT DUTY,4'-8 ' W/ PIPE CLAMP ", $	152.00 ,
52,B429748,"HANGER,LIGHT DUTY,4'-8 ' W/ PIPE CLAMP & STIRRUP", $	181.00 ,
52,B429734,"HANGER,LIGHT DUTY,5'-10 ' W/ PIPE CLAMP ", $	160.00 ,
52,B429754,"HANGER,LIGHT DUTY,5'-10 ' W/ PIPE CLAMP & STIRRUP", $	187.00 ,
53,429681,HEAVY WEIGHT HANGER UNIVERSAL RECEIVER, $	84.00 ,
53,429680,HEAVY WEIGHT HANGER JUNIOR RECEIVER, $	67.00 ,
53,429612,HEAVY WEIGHT & LIGHT WEIGHT HANGER STIRRUP, $	30.00 ,
53,429779,LIGHT WEIGHT HANGER BABY W/ PIN 3/8-16 MALE THREAD, $	12.00 ,
53,429679,HEAVY WEIGHT HANGER BABY W/ PIN 1/2-13 MALE THREAD, $	14.00 ,
53,429694,"C-CLAMP, 4.0''", $	39.00 ,
53,429594,"C-CLAMP, 4"" BABY", $	59.00 ,
53,429695,"C-CLAMP, 6""", $	45.00 ,
53,429596,"C-CLAMP, 6"" BABY", $	65.00 ,
53,429696,"C-CLAMP, 8""", $	64.00 ,
53,429598,"C-CLAMP, 8"" BABY", $	80.00 ,
53,429229,"C-CLAMP, 10""", $	83.00 ,
53,429228,"C-CLAMP, 10"" BABY", $	107.00 ,
53,429602,"C-CLAMP, 12""", $	119.00 ,
53,429603,"C-CLAMP, 12"" BABY", $	146.00 ,
53,439004,"C-CLAMP, 4"" W/DBL JR. RECEIVER", $	72.00 ,
53,439006,"C-CLAMP, 6"" W/DBL JR. RECEIVER", $	83.00 ,
53,429697,"C-CLAMP, 8"" W/SINGLE VERTICAL JR. RECEIVER", $	94.00 ,
53,429690,"C-CLAMP, 8"" W/SINGLE HORIZONTAL JR. RECEIVER", $	94.00 ,Part #429598 in the catalog is incorrect 
53,439008,"C-CLAMP, 8"" W/DBL JR. RECEIVER", $	94.00 ,
53,439010,"C-CLAMP, 10"" W/DBL JR. RECEIVER", $	119.00 ,
