Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Vendor	Vendor Item Number	Tax When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax When Sold	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	Price Level A, Qty Break 1	Price Level B, Qty Break 1	Price Level C, Qty Break 1	Price Level D, Qty Break 1	Price Level E, Qty Break 1	Price Level F, Qty Break 1	Price Level A, Qty Break 2	Price Level B, Qty Break 2	Price Level C, Qty Break 2	Price Level D, Qty Break 2	Price Level E, Qty Break 2	Price Level F, Qty Break 2	Price Level A, Qty Break 3	Price Level B, Qty Break 3	Price Level C, Qty Break 3	Price Level D, Qty Break 3	Price Level E, Qty Break 3	Price Level F, Qty Break 3	Price Level A, Qty Break 4	Price Level B, Qty Break 4	Price Level C, Qty Break 4	Price Level D, Qty Break 4	Price Level E, Qty Break 4	Price Level F, Qty Break 4	Price Level A, Qty Break 5	Price Level B, Qty Break 5	Price Level C, Qty Break 5	Price Level D, Qty Break 5	Price Level E, Qty Break 5	Price Level F, Qty Break 5	Inactive Item	Standard Cost	Default Ship/Sell Location	Default Recvd/Auto Location	Brand	Weight	Unit of Weight	Web Description	Sold in Web Store	Web Store Price	Item Record ID	Track Serial Number	Warranty Applies when Sold	Warranty Period	Unit of Warranty Period	Kit Item
Gel L102/R	Lee 102 Light Amber Roll	B	S			45250	55250	Gel L102.jpg									Lee Filters	102R		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$78.00			Lee	3	Pound	A warm yellow colour. Great for candlelight or warm bright sunlight effects.	N	105.00	4612	N	N	0	days	
Gel L102/S (X)	(X) Lee 102 Light Amber Sheet	B	S			45250	55250	Gel L102.jpg									Lee Filters	102S		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$4.00			Lee	2	Ounce	A warm yellow colour. Great for candlelight or warm bright sunlight effects.	N	8.50	4409	N	N	0	days	
Gel L102/S Inv	Lee 102 Light Amber Sheet	B	S	I	15105	45250	55250	Gel L102.jpg									Lee Filters	102S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.00			Lee	2	Ounce	A warm yellow colour. Great for candlelight or warm bright sunlight effects.	N	9.00	11288	N	N	0	days	
Gel L104/S (X)	(X) Lee 104 Deep Amber Sheet	B	S			45250	55250	Gel L104.jpg									Lee Filters	104/ S		Sheet	1	1		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$0.00			Lee	2	Ounce	Good for sunlight effect, accents and side light. Be careful of skin tones under the reddish tint of this colour.	N	8.50	4831	N	N	0	days	
Gel L104/S Inv	Lee 104 Deep Amber Sheet	B	S	I	15105	45250	55250	Gel L104.jpg									Lee Filters	104S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.75			Lee	2	Ounce		N	9.00	11287	N	N	0	days	
Gel L106/R	LEE 106 Primary Red Roll	B	S			45250	55250	Gel L106.jpg									Lee Filters	106R/1		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$82.00			Lee	3	Pound	Strong red effect. Good with cyclorama lighting.	N	120.00	4730	N	N	0	days	
Gel L106/S	Lee 106 Primary Red Sheet	B	S			45250	55250	Gel L106.jpg									Lee Filters	106/S		Sheet	1	1		$9.00	Sheet	T	1	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.88			Lee	2	Ounce	Strong red effect. Good with cyclorama lighting.	N	9.00	4825	N	N	0	days	
Gel L110/S (X)	(X) Lee 110 Middle Rose Sheet	B	S			45250	55250	Gel L110.jpg									Lee Filters	110s		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$3.75			Lee	2	Ounce	Pleasing effects for theatrical lighting.	N	8.50	4905	N	N	0	days	
Gel L110/S Inv	Lee 110 Middle Rose Sheet	B	S	I	15105	45250	55250	Gel L110.jpg									Lee Filters	110S		Sheet	1	2	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.00			Lee	2	Ounce	Pleasing effects for theatrical lighting.	N	9.00	11274	N	N	0	days	
Gel L111/S	Lee 111 Dark Pink Sheet	B	S			45250	55250	Gel L111.jpg									Lee Filters	111s		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.75			Lee	2	Ounce	Good for cyclorama lighting.	N	8.50	4904	N	N	0	days	
